using device: cuda
total desired batch_size: 524288
=> calculated gradient accumulation steps: 128
validation loss: 10.9450
step    0 | loss: 10.948395 | lr: 8.3916e-07 norm: 15.5852 | dt: 32.97s | tok/sec: 15901.18
step    1 | loss: 9.995453 | lr: 1.6783e-06 norm: 4.0561 | dt: 26.52s | tok/sec: 19768.62
step    2 | loss: 9.992105 | lr: 2.5175e-06 norm: 3.9849 | dt: 26.70s | tok/sec: 19639.80
step    3 | loss: 9.953432 | lr: 3.3566e-06 norm: 3.8741 | dt: 26.60s | tok/sec: 19709.19
step    4 | loss: 9.946834 | lr: 4.1958e-06 norm: 3.6142 | dt: 26.61s | tok/sec: 19702.15
step    5 | loss: 9.914451 | lr: 5.0350e-06 norm: 3.3988 | dt: 26.62s | tok/sec: 19695.57
step    6 | loss: 9.889338 | lr: 5.8741e-06 norm: 3.1639 | dt: 26.66s | tok/sec: 19664.69
step    7 | loss: 9.843559 | lr: 6.7133e-06 norm: 3.0072 | dt: 26.66s | tok/sec: 19668.73
step    8 | loss: 9.791615 | lr: 7.5524e-06 norm: 2.9022 | dt: 26.64s | tok/sec: 19683.63
step    9 | loss: 9.758032 | lr: 8.3916e-06 norm: 2.7866 | dt: 26.64s | tok/sec: 19680.94
step   10 | loss: 9.734406 | lr: 9.2308e-06 norm: 2.6572 | dt: 26.67s | tok/sec: 19654.75
step   11 | loss: 9.684622 | lr: 1.0070e-05 norm: 2.6165 | dt: 26.65s | tok/sec: 19673.85
step   12 | loss: 9.725359 | lr: 1.0909e-05 norm: 2.4039 | dt: 26.64s | tok/sec: 19677.10
step   13 | loss: 9.606832 | lr: 1.1748e-05 norm: 2.4910 | dt: 26.65s | tok/sec: 19674.49
step   14 | loss: 9.566986 | lr: 1.2587e-05 norm: 2.4671 | dt: 26.65s | tok/sec: 19674.73
step   15 | loss: 9.546124 | lr: 1.3427e-05 norm: 2.4582 | dt: 26.68s | tok/sec: 19651.55
step   16 | loss: 9.555300 | lr: 1.4266e-05 norm: 15.7272 | dt: 26.73s | tok/sec: 19616.44
step   17 | loss: 9.611226 | lr: 1.5105e-05 norm: 18.5552 | dt: 26.73s | tok/sec: 19614.06
step   18 | loss: 9.447838 | lr: 1.5944e-05 norm: 2.6058 | dt: 26.73s | tok/sec: 19614.06
step   19 | loss: 9.382266 | lr: 1.6783e-05 norm: 2.6709 | dt: 26.77s | tok/sec: 19588.06
step   20 | loss: 9.350904 | lr: 1.7622e-05 norm: 2.7849 | dt: 26.72s | tok/sec: 19618.11
step   21 | loss: 9.308661 | lr: 1.8462e-05 norm: 2.6973 | dt: 26.73s | tok/sec: 19615.85
step   22 | loss: 9.317457 | lr: 1.9301e-05 norm: 2.0484 | dt: 26.73s | tok/sec: 19611.65
step   23 | loss: 9.308591 | lr: 2.0140e-05 norm: 5.0135 | dt: 26.74s | tok/sec: 19606.94
step   24 | loss: 9.249260 | lr: 2.0979e-05 norm: 3.7713 | dt: 26.77s | tok/sec: 19585.87
step   25 | loss: 9.258211 | lr: 2.1818e-05 norm: 1.9735 | dt: 26.76s | tok/sec: 19592.75
step   26 | loss: 9.203913 | lr: 2.2657e-05 norm: 2.0673 | dt: 26.73s | tok/sec: 19610.95
step   27 | loss: 9.215805 | lr: 2.3497e-05 norm: 2.1472 | dt: 26.74s | tok/sec: 19607.04
step   28 | loss: 9.180966 | lr: 2.4336e-05 norm: 2.0928 | dt: 26.77s | tok/sec: 19583.72
step   29 | loss: 9.151456 | lr: 2.5175e-05 norm: 1.9816 | dt: 26.74s | tok/sec: 19607.75
step   30 | loss: 9.114227 | lr: 2.6014e-05 norm: 1.9508 | dt: 26.74s | tok/sec: 19605.74
step   31 | loss: 9.091416 | lr: 2.6853e-05 norm: 1.9390 | dt: 26.74s | tok/sec: 19604.95
step   32 | loss: 9.096214 | lr: 2.7692e-05 norm: 2.1507 | dt: 26.75s | tok/sec: 19602.18
step   33 | loss: 9.078597 | lr: 2.8531e-05 norm: 1.9275 | dt: 26.78s | tok/sec: 19575.88
step   34 | loss: 9.018478 | lr: 2.9371e-05 norm: 2.0554 | dt: 26.76s | tok/sec: 19592.73
step   35 | loss: 8.975488 | lr: 3.0210e-05 norm: 2.0280 | dt: 26.75s | tok/sec: 19598.13
step   36 | loss: 8.919798 | lr: 3.1049e-05 norm: 2.0245 | dt: 26.75s | tok/sec: 19599.51
step   37 | loss: 8.851320 | lr: 3.1888e-05 norm: 2.3318 | dt: 26.78s | tok/sec: 19577.63
step   38 | loss: 8.813677 | lr: 3.2727e-05 norm: 3.0404 | dt: 26.74s | tok/sec: 19605.78
step   39 | loss: 8.794599 | lr: 3.3566e-05 norm: 2.8629 | dt: 26.74s | tok/sec: 19606.09
